medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Silver Medal,2,MATSIMA Chrislain,Male,France,Football,Men,1900690
Silver Medal,2,DIOUF Andy,Male,France,Football,Men,1900651
Silver Medal,2,LEPENANT Johann,Male,France,Football,Men,1900680
Bronze Medal,3,FROHMS Merle,Female,Germany,Football,Women,1880591
Bronze Medal,3,LINDER Sarai,Female,Germany,Football,Women,1880576
Bronze Medal,3,HENDRICH Kathrin,Female,Germany,Football,Women,1880566
Bronze Medal,3,SCHULZE SOLANO Bibiane,Female,Germany,Football,Women,1880606
Bronze Medal,3,HEGERING Marina,Female,Germany,Football,Women,1880595
Bronze Medal,3,MINGE Janina,Female,Germany,Football,Women,1880574
Bronze Medal,3,SCHUELLER Lea,Female,Germany,Football,Women,1880572
Bronze Medal,3,LOHMANN Sydney,Female,Germany,Football,Women,1880581
Bronze Medal,3,NUESKEN Sjoeke,Female,Germany,Football,Women,1880584
Bronze Medal,3,FREIGANG Laura,Female,Germany,Football,Women,1880573
Bronze Medal,3,POPP Alexandra,Female,Germany,Football,Women,1880564
Bronze Medal,3,BERGER Ann-Katrin,Female,Germany,Football,Women,1880602
Bronze Medal,3,DOORSOUN Sara,Female,Germany,Football,Women,1880565
Bronze Medal,3,SENSS Elisa,Female,Germany,Football,Women,1880609
Bronze Medal,3,GWINN Giulia,Female,Germany,Football,Women,1880575
Bronze Medal,3,BRAND Jule,Female,Germany,Football,Women,1880592
Bronze Medal,3,BUEHL Klara,Female,Germany,Football,Women,1880583
Bronze Medal,3,ENDEMANN Vivien,Female,Germany,Football,Women,1880610
Bronze Medal,3,RAUCH Felicitas,Female,Germany,Football,Women,1880571
Bronze Medal,3,ANYOMI Nicole,Female,Germany,Football,Women,1880578
Gold Medal,1,VEENENDAAL Anne,Female,Netherlands,Hockey,Women,1971974
Gold Medal,1,FOKKE Luna Noa,Female,Netherlands,Hockey,Women,1971927
Gold Medal,1,MOES Freeke,Female,Netherlands,Hockey,Women,1971955
Gold Medal,1,POST Lisa,Female,Netherlands,Hockey,Women,1971960
Gold Medal,1,de WAARD Xan,Female,Netherlands,Hockey,Women,1971978
Gold Medal,1,JANSEN Yibbi,Female,Netherlands,Hockey,Women,1971940
Gold Medal,1,van LAARHOVEN Renee,Female,Netherlands,Hockey,Women,1971948
Gold Medal,1,ALBERS Felice,Female,Netherlands,Hockey,Women,1971903
Gold Medal,1,VERSCHOOR Maria,Female,Netherlands,Hockey,Women,1971975
Gold Medal,1,KOOLEN Sanne,Female,Netherlands,Hockey,Women,1971945
Gold Medal,1,MATLA Frederique,Female,Netherlands,Hockey,Women,1971950
Gold Medal,1,BURG Joosje,Female,Netherlands,Hockey,Women,1971919
Gold Medal,1,JOCHEMS Marleen,Female,Netherlands,Hockey,Women,1971942
Gold Medal,1,SANDERS Pien,Female,Netherlands,Hockey,Women,1971965
Gold Medal,1,VEEN Marijn,Female,Netherlands,Hockey,Women,1971973
Gold Medal,1,NUNNINK Laura,Female,Netherlands,Hockey,Women,1971958
Gold Medal,1,DICKE Pien,Female,Netherlands,Hockey,Women,1971923
Silver Medal,2,YE Jiao,Female,China,Hockey,Women,1926915
Silver Medal,2,GU Bingfeng,Female,China,Hockey,Women,1926896
Silver Medal,2,YANG Liu,Female,China,Hockey,Women,1926914
Silver Medal,2,ZHANG Ying,Female,China,Hockey,Women,1926920
Silver Medal,2,CHEN Yi,Female,China,Hockey,Women,1926893
Silver Medal,2,MA Ning,Female,China,Hockey,Women,1926908
Silver Medal,2,LI Hong,Female,China,Hockey,Women,1926901
Silver Medal,2,OU Zixia,Female,China,Hockey,Women,1926909
Silver Medal,2,DAN Wen,Female,China,Hockey,Women,1926894
Silver Medal,2,ZOU Meirong,Female,China,Hockey,Women,1926923
Silver Medal,2,HE Jiangxin,Female,China,Hockey,Women,1926898
Silver Medal,2,FAN Yunxia,Female,China,Hockey,Women,1926895
Silver Medal,2,CHEN Yang,Female,China,Hockey,Women,1926926
Silver Medal,2,XU Wenyu,Female,China,Hockey,Women,1926912
Silver Medal,2,ZHONG Jiaqi,Female,China,Hockey,Women,1926922
Silver Medal,2,TAN Jinzhuang,Female,China,Hockey,Women,1926910
Silver Medal,2,YU Anhui,Female,China,Hockey,Women,1926916
Bronze Medal,3,TOCCALINO Sofia,Female,Argentina,Hockey,Women,1538304
Bronze Medal,3,GORZELANY Agustina,Female,Argentina,Hockey,Women,1538274
Bronze Medal,3,RAPOSO RUIZ de los LLANOS Valentina,Female,Argentina,Hockey,Women,1538294
Bronze Medal,3,ALONSO Agostina,Female,,Hockey,Women,1538253
Bronze Medal,3,ALBERTARRIO Agustina,Female,Argentina,Hockey,Women,1538244
Bronze Medal,3,GRANATTO Maria,Female,Argentina,Hockey,Women,1538276
Bronze Medal,3,COSENTINO Cristina,Female,Argentina,Hockey,Women,1538266
Bronze Medal,3,SANCHEZ MOCCIA Rocio,Female,Argentina,Hockey,Women,1538295
Bronze Medal,3,SAUZE VALDEZ Victoria,Female,Argentina,Hockey,Women,1538299
Bronze Medal,3,CAIRO Sofia,Female,Argentina,Hockey,Women,1538261
Bronze Medal,3,TRINCHINETTI Eugenia,Female,Argentina,Hockey,Women,1538305
Bronze Medal,3,CASAS Lara,Female,Argentina,Hockey,Women,1538262
Bronze Medal,3,CASTELLARO MORELLO Juana,Female,Argentina,Hockey,Women,1538263
Bronze Medal,3,CAMPOY Maria,Female,Argentina,Hockey,Women,1538260
Bronze Medal,3,JANKUNAS Julieta,Female,Argentina,Hockey,Women,1538277
Bronze Medal,3,DIAZ de ARMAS Zoe,Female,Argentina,Hockey,Women,1900397
Gold Medal,1,FAN Zhendong,Male,China,Table Tennis,Men's Team,1902295
Gold Medal,1,MA Long,Male,China,Table Tennis,Men's Team,1902300
Gold Medal,1,WANG Chuqin,Male,China,Table Tennis,Men's Team,1902301
Silver Medal,2,KALLBERG Anton,Male,Sweden,Table Tennis,Men's Team,1563381
Silver Medal,2,KARLSSON Kristian,Male,Sweden,Table Tennis,Men's Team,1563386
Silver Medal,2,MOREGARD Truls,Male,Sweden,Table Tennis,Men's Team,1563390
Bronze Medal,3,GAUZY Simon,Male,France,Table Tennis,Men's Team,1889178
Bronze Medal,3,LEBRUN Alexis,Male,France,Table Tennis,Men's Team,1889176
Bronze Medal,3,LEBRUN Felix,Male,France,Table Tennis,Men's Team,1889177
Bronze Medal,3,ANDERSON Matthew,Male,United States,Volleyball,Men,1917987
Bronze Medal,3,AVERILL Taylor,Male,United States,Volleyball,Men,1917988
Bronze Medal,3,CHRISTENSON Micah,Male,United States,Volleyball,Men,1917991
Bronze Medal,3,DEFALCO Torey,Male,United States,Volleyball,Men,1917993
Bronze Medal,3,HOLT Maxwell,Male,United States,Volleyball,Men,1918000
Bronze Medal,3,JAESCHKE Thomas,Male,United States,Volleyball,Men,1918002
Bronze Medal,3,JENDRYK II Jeffrey,Male,United States,Volleyball,Men,1918003
Bronze Medal,3,MA'A Micah,Male,United States,Volleyball,Men,1917982
Bronze Medal,3,MUAGUTUTIA Garrett,Male,United States,Volleyball,Men,1918007
Bronze Medal,3,RUSSELL Aaron,Male,United States,Volleyball,Men,1918009
Bronze Medal,3,SHOJI Erik,Male,United States,Volleyball,Men,1918011
Bronze Medal,3,SMITH David,Male,United States,Volleyball,Men,1918012
Bronze Medal,3,ENSING Kyle,Male,United States,Volleyball,Men,1917994
Gold Medal,1,WANG Liuyi,Female,China,Artistic Swimming,Duet,1908852
Gold Medal,1,WANG Qianyi,Female,China,Artistic Swimming,Duet,1908853
Silver Medal,2,SHORTMAN Kate,Female,Great Britain,Artistic Swimming,Duet,1544151
Silver Medal,2,THORPE Isabelle,Female,Great Britain,Artistic Swimming,Duet,1980935
Bronze Medal,3,de BROUWER Bregje,Female,Netherlands,Artistic Swimming,Duet,1972513
Bronze Medal,3,de BROUWER Noortje,Female,Netherlands,Artistic Swimming,Duet,1972512
Gold Medal,1,BAILEY Christopher,Male,United States,Athletics,Men's 4 x 400m Relay,1960604
Gold Medal,1,BENJAMIN Rai,Male,United States,Athletics,Men's 4 x 400m Relay,1960684
Gold Medal,1,DEADMON Bryce,Male,United States,Athletics,Men's 4 x 400m Relay,1960590
Gold Medal,1,HALL Quincy,Male,United States,Athletics,Men's 4 x 400m Relay,1960177
Gold Medal,1,LINDSEY Courtney,Male,United States,Athletics,Men's 4 x 400m Relay,1965202
Gold Medal,1,NORMAN Michael,Male,United States,Athletics,Men's 4 x 400m Relay,1965289
Gold Medal,1,NORWOOD Vernon,Male,United States,Athletics,Men's 4 x 400m Relay,1960111
Gold Medal,1,WILSON Quincy,Male,United States,Athletics,Men's 4 x 400m Relay,4979564
Silver Medal,2,EPPIE Lee Bhekempilo,Male,Botswana,Athletics,Men's 4 x 400m Relay,4975921
Silver Medal,2,KEBINATSHIPI Busang Collen,Male,Botswana,Athletics,Men's 4 x 400m Relay,1950939
Silver Medal,2,NDORI Bayapo,Male,Botswana,Athletics,Men's 4 x 400m Relay,1950897
Silver Medal,2,PESELA Anthony,Male,Botswana,Athletics,Men's 4 x 400m Relay,1951506
Silver Medal,2,SCOTCH Leungo,Male,Botswana,Athletics,Men's 4 x 400m Relay,1950918
Silver Medal,2,TEBOGO Letsile,Male,Botswana,Athletics,Men's 4 x 400m Relay,1936983
Bronze Medal,3,DAVEY Lewis,Male,Great Britain,Athletics,Men's 4 x 400m Relay,1924406
Bronze Medal,3,DOBSON Charles,Male,Great Britain,Athletics,Men's 4 x 400m Relay,1924409
Bronze Medal,3,HARRIES Toby,Male,Great Britain,Athletics,Men's 4 x 400m Relay,4663897
Bronze Medal,3,HAYDOCK-WILSON Alex,Male,Great Britain,Athletics,Men's 4 x 400m Relay,1924426
Bronze Medal,3,HUDSON-SMITH Matthew,Male,Great Britain,Athletics,Men's 4 x 400m Relay,1924430
Bronze Medal,3,REARDON Samuel,Male,Great Britain,Athletics,Men's 4 x 400m Relay,1956853
Bronze Medal,3,,,,Athletics,Men's 4 x 400m Relay,1924402
Gold Medal,1,BROWN Kaylyn,Female,United States,Athletics,Women's 4 x 400m Relay,1960650
Gold Medal,1,BUTLER Aaliyah,Female,United States,Athletics,Women's 4 x 400m Relay,4979555
Gold Medal,1,ELLIS Kendall,Female,United States,Athletics,Women's 4 x 400m Relay,1960984
Gold Medal,1,HAYES Quanera,Female,United States,Athletics,Women's 4 x 400m Relay,1961016
Gold Medal,1,HOLMES Alexis,Female,United States,Athletics,Women's 4 x 400m Relay,1960909
Gold Medal,1,LITTLE Shamier,Female,United States,Athletics,Women's 4 x 400m Relay,1960179
Gold Medal,1,McLAUGHLIN-LEVRONE Sydney,Female,United States,Athletics,Women's 4 x 400m Relay,1965308
Gold Medal,1,THOMAS Gabrielle,Female,United States,Athletics,Women's 4 x 400m Relay,1965868
Silver Medal,2,BOL Femke,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972078
Silver Medal,2,de WITTE Lisanne,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972288
Silver Medal,2,KLAVER Lieke,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972115
Silver Medal,2,PEETERS Cathelijn,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972240
Silver Medal,2,SAALBERG Eveline,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972248
Silver Medal,2,van de WIEL Anne,Female,Netherlands,Athletics,Women's 4 x 400m Relay,4980004
Silver Medal,2,van der SCHOOT Myrte,Female,Netherlands,Athletics,Women's 4 x 400m Relay,1972251
Bronze Medal,3,ANNING Amber,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924383
Bronze Medal,3,JOHN Yemi Mary,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924437
Bronze Medal,3,KELLY Hannah,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1956846
Bronze Medal,3,NIELSEN Laviai,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924464
Bronze Medal,3,NIELSEN Lina,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924463
Bronze Medal,3,OHURUOGU Victoria,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924470
Bronze Medal,3,WILLIAMS Jodie,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924506
Bronze Medal,3,YEARGIN Nicole,Female,Great Britain,Athletics,Women's 4 x 400m Relay,1924509
Gold Medal,1,CURRY Stephen,Male,United States,Basketball,Men,1954698
Gold Medal,1,EDWARDS Anthony,Male,United States,Basketball,Men,1954701
Gold Medal,1,JAMES LeBron,Male,United States,Basketball,Men,1954714
Gold Medal,1,DURANT Kevin,Male,United States,Basketball,Men,1954700
Gold Medal,1,WHITE Derrick,Male,United States,Basketball,Men,1954724
Gold Medal,1,HALIBURTON Tyrese,Male,United States,Basketball,Men,1954705
Gold Medal,1,TATUM Jayson,Male,United States,Basketball,Men,1954684
Gold Medal,1,EMBIID Joel,Male,United States,Basketball,Men,1954683
Gold Medal,1,HOLIDAY Jrue,Male,United States,Basketball,Men,1954709
Gold Medal,1,ADEBAYO Bam,Male,United States,Basketball,Men,1954688
Gold Medal,1,DAVIS Anthony,Male,United States,Basketball,Men,1954699
Gold Medal,1,BOOKER Devin,Male,United States,Basketball,Men,1954687
Silver Medal,2,NTILIKINA Frank,Male,France,Basketball,Men,1573636
Silver Medal,2,BATUM Nicolas,Male,France,Basketball,Men,1573628
Silver Medal,2,ALBICY Andrew,Male,France,Basketball,Men,1573627
Silver Medal,2,YABUSELE Guerschon,Male,France,Basketball,Men,1573638
Silver Medal,2,CORDINIER Isaia,Male,France,Basketball,Men,1573640
Silver Medal,2,FOURNIER Evan,Male,France,Basketball,Men,1573632
Silver Medal,2,de COLO Nando,Male,France,Basketball,Men,1573630
Silver Medal,2,LESSORT Mathias,Male,France,Basketball,Men,1573634
Silver Medal,2,GOBERT Rudy,Male,France,Basketball,Men,1573633
Silver Medal,2,WEMBANYAMA Victor,Male,France,Basketball,Men,1573639
Silver Medal,2,STRAZEL Matthew,Male,France,Basketball,Men,1573660
Silver Medal,2,COULIBALY Bilal,Male,France,Basketball,Men,1573642
Bronze Medal,3,PLAVSIC Uros,Male,Serbia,Basketball,Men,1948421
Bronze Medal,3,PETRUSEV Fili,Male,Serbia,Basketball,Men,1948420
Bronze Medal,3,JOVIC Nikola,Male,Serbia,Basketball,Men,1948413
Bronze Medal,3,BOGDANOVIC Bogdan,Male,Serbia,Basketball,Men,1948404
Bronze Medal,3,MARINKOVIC Vanja,Male,Serbia,Basketball,Men,1948416
Bronze Medal,3,DOBRIC Ognjen,Male,Serbia,Basketball,Men,1948407
Bronze Medal,3,JOKIC Nikola,Male,Serbia,Basketball,Men,1948411
Bronze Medal,3,MICIC Vasilije,Male,Serbia,Basketball,Men,1948417
Bronze Medal,3,GUDURIC Marko,Male,Serbia,Basketball,Men,1948408
Bronze Medal,3,DAVIDOVAC Dejan,Male,Serbia,Basketball,Men,1948405
Bronze Medal,3,AVRAMOVIC Aleksa,Male,Serbia,Basketball,Men,1948402
Bronze Medal,3,MILUTINOV Nikola,Male,Serbia,Basketball,Men,1948418
Gold Medal,1,AHMAN David,Male,Sweden,Beach Volleyball,Men,1934586
Gold Medal,1,HELLVIG Jonatan,Male,Sweden,Beach Volleyball,Men,1934579
Silver Medal,2,EHLERS Nils,Male,Germany,Beach Volleyball,Men,1562864
Silver Medal,2,WICKLER Clemens,Male,Germany,Beach Volleyball,Men,1562868
Bronze Medal,3,MOL Anders Berntsen,Male,Norway,Beach Volleyball,Men,1878383
Bronze Medal,3,SOERUM Christian Sandlie,Male,Norway,Beach Volleyball,Men,1878386
Gold Medal,1,LEITAO Iuri,Male,Portugal,Cycling Track,Men's Madison,1933816
Gold Medal,1,OLIVEIRA Rui,Male,Portugal,Cycling Track,Men's Madison,1933821
Silver Medal,2,CONSONNI Simone,Male,Italy,Cycling Track,Men's Madison,1923518
Silver Medal,2,VIVIANI Elia,Male,Italy,Cycling Track,Men's Madison,1923519
Bronze Medal,3,LARSEN Niklas,Male,Denmark,Cycling Track,Men's Madison,1879180
Bronze Medal,3,MOERKOEV Michael,Male,Denmark,Cycling Track,Men's Madison,1879160
Gold Medal,1,NAEHER Alyssa,Female,United States,Football,Women,1943575
Gold Medal,1,FOX Emily,Female,United States,Football,Women,1943553
Gold Medal,1,ALBERT Korbin,Female,United States,Football,Women,1943542
Gold Medal,1,GIRMA Naomi,Female,United States,Football,Women,1943555
Gold Medal,1,RODMAN Trinity,Female,United States,Football,Women,1943580
Gold Medal,1,KRUEGER Casey,Female,United States,Football,Women,1943566
Gold Medal,1,DUNN Crystal,Female,United States,Football,Women,1943588
Gold Medal,1,WILLIAMS Lynn,Female,United States,Football,Women,1943596
Gold Medal,1,SWANSON Mallory,Female,United States,Football,Women,1943591
Gold Medal,1,HORAN Lindsey,Female,United States,Football,Women,1943558
Gold Medal,1,SMITH Sophia,Female,United States,Football,Women,1943586
Gold Medal,1,DAVIDSON Tierna,Female,United States,Football,Women,1943550
Gold Medal,1,NIGHSWONGER Jenna,Female,United States,Football,Women,1943576
Gold Medal,1,SONNETT Emily,Female,United States,Football,Women,1943587
Gold Medal,1,SHAW Jaedyn,Female,United States,Football,Women,1943585
Gold Medal,1,LAVELLE Rose,Female,United States,Football,Women,1943567
Gold Medal,1,COFFEY Samantha,Female,United States,Football,Women,1943547
Gold Medal,1,MURPHY Casey,Female,United States,Football,Women,1943574
Gold Medal,1,BETHUNE Croix,Female,United States,Football,Women,4665325
Gold Medal,1,SAMS Emily,Female,United States,Football,Women,1943569
Silver Medal,2,LORENA,Female,Brazil,Football,Women,1967608
Silver Medal,2,ANTONIA,Female,Brazil,Football,Women,1967575
Silver Medal,2,TARCIANE,Female,Brazil,Football,Women,1967629
Silver Medal,2,RAFAELLE,Female,Brazil,Football,Women,1967625
Silver Medal,2,DUDA SAMPAIO,Female,Brazil,Football,Women,1967616
Silver Medal,2,TAMIRES,Female,Brazil,Football,Women,1967626
Silver Medal,2,KEROLIN,Female,Brazil,Football,Women,1967602
Silver Medal,2,VITORIA YAYA,Female,Brazil,Football,Women,1967635
Silver Medal,2,ADRIANA,Female,Brazil,Football,Women,1967574
Silver Medal,2,MARTA,Female,Brazil,Football,Women,1967617
Silver Medal,2,JHENIFFER,Female,Brazil,Football,Women,1967599
Silver Medal,2,TAINA,Female,Brazil,Football,Women,1967630
Silver Medal,2,YASMIM,Female,Brazil,Football,Women,1967636
Silver Medal,2,LUDMILA,Female,Brazil,Football,Women,1967612
Silver Medal,2,THAIS,Female,Brazil,Football,Women,1967628
Silver Medal,2,GABI NUNES,Female,Brazil,Football,Women,1967594
Silver Medal,2,ANA VITORIA,Female,Brazil,Football,Women,1967565
Silver Medal,2,GABI PORTILHO,Female,Brazil,Football,Women,1967593
Silver Medal,2,PRISCILA,Female,Brazil,Football,Women,1967623
Silver Medal,2,ANGELINA,Female,Brazil,Football,Women,1967567
Silver Medal,2,LAUREN,Female,Brazil,Football,Women,1967606
Silver Medal,2,LUCIANA,Female,Brazil,Football,Women,1967607
Gold Medal,1,KRISTIANSEN Veronica,Female,Norway,Handball,Women,1878514
Gold Medal,1,AARDAHL Maren,Female,Norway,Handball,Women,1878518
Gold Medal,1,SKOGRAND Stine,Female,Norway,Handball,Women,1878496
Gold Medal,1,MOERK Nora,Female,Norway,Handball,Women,1878486
Gold Medal,1,OFTEDAL Stine Bredal,Female,Norway,Handball,Women,1878515
Gold Medal,1,SOLBERG-OESTHASSEL Silje,Female,Norway,Handball,Women,1878492
Gold Medal,1,BRATTSET DALE Kari,Female,Norway,Handball,Women,1878516
Gold Medal,1,BREISTOEL Kristine,Female,Norway,Handball,Women,1878511
Gold Medal,1,INGSTAD Vilde,Female,Norway,Handball,Women,1878493
Gold Medal,1,LUNDE Katrine,Female,Norway,Handball,Women,1878509
Gold Medal,1,JACOBSEN Marit,Female,Norway,Handball,Women,1878501
Gold Medal,1,HERREM Camilla,Female,Norway,Handball,Women,1878487
Gold Medal,1,SOLBERG-ISAKSEN Sanna,Female,Norway,Handball,Women,1878500
Gold Medal,1,REISTAD Henny,Female,Norway,Handball,Women,1878495
Gold Medal,1,RUSHFELDT DEILA Thale,Female,Norway,Handball,Women,1878490
Silver Medal,2,GLAUSER Laura,Female,France,Handball,Women,1879834
Silver Medal,2,NOCANDY Meline,Female,France,Handball,Women,1879845
Silver Medal,2,TOUBLANC Alicia,Female,France,Handball,Women,1879853
Silver Medal,2,VALENTINI Chloe,Female,France,Handball,Women,1879854
Silver Medal,2,LASSOURCE Coralie,Female,France,Handball,Women,1879842
Silver Medal,2,ZAADI DEUNA Grace,Female,France,Handball,Women,1879856
Silver Medal,2,DARLEUX MINGAM Cleopatre,Female,France,Handball,Women,1879826
Silver Medal,2,FLIPPES Laura,Female,France,Handball,Women,1879830
Silver Medal,2,KANOR Orlane,Female,France,Handball,Women,1879839
Silver Medal,2,HORACEK Tamara,Female,France,Handball,Women,1893824
Silver Medal,2,FOPPA Pauletta,Female,France,Handball,Women,1879831
Silver Medal,2,NZE MINKO Estelle,Female,France,Handball,Women,1879846
Silver Medal,2,ONDONO Onacia,Female,France,Handball,Women,1879847
Silver Medal,2,GRANIER Lucie,Female,France,Handball,Women,1879836
Silver Medal,2,BOUKTIT Sarah,Female,France,Handball,Women,1946320
Silver Medal,2,GRANDVEAU Lena,Female,France,Handball,Women,1879835
Silver Medal,2,SAKO Hatadou,Female,France,Handball,Women,1879851
Bronze Medal,3,TOFT Sandra,Female,Denmark,Handball,Women,1895245
Bronze Medal,3,AABERG IVERSEN Sarah,Female,Denmark,Handball,Women,1895210
Bronze Medal,3,ELVER Helena,Female,Denmark,Handball,Women,1895215
Bronze Medal,3,HANSEN Anne Mette,Female,Denmark,Handball,Women,1895159
Bronze Medal,3,HEINDAHL Kathrine,Female,Denmark,Handball,Women,1895232
Bronze Medal,3,HAUGSTED Line,Female,Denmark,Handball,Women,1895250
Bronze Medal,3,REINHARDT Althea,Female,Denmark,Handball,Women,1895246
Bronze Medal,3,TRANBORG Mette,Female,Denmark,Handball,Women,1895168
Bronze Medal,3,JOERGENSEN Kristina,Female,Denmark,Handball,Women,1895224
Bronze Medal,3,OESTERGAARD Trine,Female,Denmark,Handball,Women,1895214
Bronze Medal,3,VINTER BURGAARD Louise,Female,Denmark,Handball,Women,1895187
Bronze Medal,3,HOEJLUND Mie,Female,Denmark,Handball,Women,1895213
Bronze Medal,3,FRIIS Emma,Female,Denmark,Handball,Women,1895152
Bronze Medal,3,IVERSEN Rikke,Female,Denmark,Handball,Women,1895226
Bronze Medal,3,MOELLER Michala,Female,Denmark,Handball,Women,1895166
Gold Medal,1,CHEN Meng,Female,China,Table Tennis,Women's Team,1902307
Gold Medal,1,SUN Yingsha,Female,China,Table Tennis,Women's Team,1902313
Gold Medal,1,WANG Manyu,Female,China,Table Tennis,Women's Team,1902314
Silver Medal,2,HAYATA Hina,Female,Japan,Table Tennis,Women's Team,1931100
Silver Medal,2,HARIMOTO Miwa,Female,Japan,Table Tennis,Women's Team,1931098
Silver Medal,2,HIRANO Miu,Female,Japan,Table Tennis,Women's Team,1931101
Bronze Medal,3,SHIN Yubin,Female,Korea,Table Tennis,Women's Team,1936435
Bronze Medal,3,JEON Jihee,Female,Korea,Table Tennis,Women's Team,1936419
Bronze Medal,3,LEE Eunhye,Female,Korea,Table Tennis,Women's Team,1936425
Gold Medal,1,GREBENNIKOV Jenia,Male,France,Volleyball,Men,1574049
Gold Medal,1,CHINENYEZE Barthelemy,Male,France,Volleyball,Men,1574045
Gold Medal,1,JOUFFROY Quentin,Male,France,Volleyball,Men,1574055
Gold Medal,1,le GOFF Nicolas,Male,France,Volleyball,Men,1574057
Gold Medal,1,FAURE Theo,Male,France,Volleyball,Men,1574048
Gold Medal,1,PATRY Jean,Male,France,Volleyball,Men,1574061
Gold Medal,1,BRIZARD Antoine,Male,France,Volleyball,Men,1574041
Gold Medal,1,TONIUTTI Benjamin,Male,France,Volleyball,Men,1574067
Gold Medal,1,CLEVENOT Trevor,Male,France,Volleyball,Men,1574046
Gold Medal,1,LOUATI Yacine,Male,France,Volleyball,Men,1574058
Gold Medal,1,NGAPETH Earvin,Male,France,Volleyball,Men,1574060
Gold Medal,1,TILLIE Kevin,Male,France,Volleyball,Men,1574065
Gold Medal,1,CARLE Timothee,Male,France,Volleyball,Men,1574043
Silver Medal,2,KACZMAREK Lukasz,Male,Poland,Volleyball,Men,1902882
Silver Medal,2,KUREK Bartosz,Male,Poland,Volleyball,Men,1902890
Silver Medal,2,LEON VENERO Wilfredo,Male,Poland,Volleyball,Men,1902892
Silver Medal,2,SLIWKA Aleksander,Male,Poland,Volleyball,Men,1902902
Silver Medal,2,LOMACZ Grzegorz,Male,Poland,Volleyball,Men,1902893
Silver Medal,2,KOCHANOWSKI Jakub,Male,Poland,Volleyball,Men,1902886
Silver Medal,2,SEMENIUK Kamil,Male,Poland,Volleyball,Men,1902901
Silver Medal,2,ZATORSKI Pawel,Male,Poland,Volleyball,Men,1902910
Silver Medal,2,JANUSZ Marcin,Male,Poland,Volleyball,Men,1902881
Silver Medal,2,BIENIEK Mateusz,Male,Poland,Volleyball,Men,1902869
Silver Medal,2,FORNAL Tomasz,Male,Poland,Volleyball,Men,1902875
Silver Medal,2,HUBER Norbert,Male,Poland,Volleyball,Men,1902880
Silver Medal,2,BOLADZ Bartlomiej,Male,Poland,Volleyball,Men,1902870
Bronze Medal,3,DUARTE ALECRIM Diana,Female,Brazil,Volleyball,Women,1964076
Bronze Medal,3,ALEXANDRE COSTA NUNES Nyeme Victor,Female,Brazil,Volleyball,Women,1964152
Bronze Medal,3,SILVA CARNEIRO Macris Fernanda,Female,Brazil,Volleyball,Women,1964140
Bronze Medal,3,DAHER de MENEZES Thaisa,Female,Brazil,Volleyball,Women,1964180
Bronze Medal,3,MONTIBELLER Rosamaria,Female,Brazil,Volleyball,Women,1964167
Bronze Medal,3,RATZKE Roberta Silva,Female,Brazil,Volleyball,Women,1964169
Bronze Medal,3,BRAGA GUIMARAES Gabriela,Female,Brazil,Volleyball,Women,1964094
Bronze Medal,3,MENEZES OLIVEIRA de SOUZA Ana Cris,Female,Brazil,Volleyball,Women,1964065
Bronze Medal,3,da SILVA Ana Carolina,Female,Brazil,Volleyball,Women,1964063
Bronze Medal,3,BERGMANN Julia Isabelle,Female,Brazil,Volleyball,Women,1964106
Bronze Medal,3,LEMES SANTOS Tainara,Female,Brazil,Volleyball,Women,1964183
Bronze Medal,3,GERALDO TEIXEIRA Lorenne,Female,Brazil,Volleyball,Women,1964136
Bronze Medal,3,ARAUJO Natalia,Female,Brazil,Volleyball,Women,1964151
Gold Medal,1,ESTER RAMOS Laura,Female,Spain,Water Polo,Women,1954878
Gold Medal,1,PIRALKOVA COELLO Isabel,Female,Spain,Water Polo,Women,1954897
Gold Medal,1,ESPAR LLAQUET Anni,Female,Spain,Water Polo,Women,1954877
Gold Medal,1,ORTIZ Bea,Female,Spain,Water Polo,Women,1954893
Gold Medal,1,PEREZ VIVAS Nona,Female,Spain,Water Polo,Women,1954895
Gold Medal,1,CRESPI BARRIGA Paula,Female,Spain,Water Polo,Women,1954875
Gold Medal,1,RUIZ BARRIL Elena,Female,Spain,Water Polo,Women,1954900
Gold Medal,1,PENA Pili,Female,Spain,Water Polo,Women,1954894
Gold Medal,1,FORCA ARIZA Judith,Female,Spain,Water Polo,Women,1954880
Gold Medal,1,CAMUS Paula,Female,Spain,Water Polo,Women,1954874
Gold Medal,1,GARCIA GODOY Maica,Female,Spain,Water Polo,Women,1954881
Gold Medal,1,LEITON ARRONES Paula,Female,Spain,Water Polo,Women,1954886
Gold Medal,1,TERRE Martina,Female,Spain,Water Polo,Women,1954903
